day,closingPrice,salesVolume,company
2023-11-03,10.7900,655003,GCT
2023-11-02,10.6000,551432,GCT
2023-11-01,9.9200,869370,GCT
2023-10-31,9.4700,1290602,GCT
2023-10-30,8.8900,452530,GCT
2023-10-27,8.2200,305129,GCT
2023-10-26,8.4000,231729,GCT
2023-10-25,8.3000,380229,GCT
2023-10-24,8.4800,424212,GCT
2023-10-23,8.3000,321795,GCT
2023-10-20,8.5500,644715,GCT
2023-10-19,8.6600,388651,GCT
2023-10-18,8.6000,613210,GCT
2023-10-17,9.2100,533771,GCT
2023-10-16,9.0300,518090,GCT
2023-10-13,8.6900,476329,GCT
2023-10-12,9.1900,329084,GCT
2023-10-11,8.7700,427515,GCT
2023-10-10,9.0700,1266355,GCT
2023-10-09,9.9600,514556,GCT
2023-10-06,8.6700,453030,GCT
2023-10-05,8.5000,568259,GCT
2023-10-04,8.9400,262647,GCT
2023-10-03,8.9600,713480,GCT
2023-10-02,9.0400,803486,GCT
2023-09-29,8.8100,2503003,GCT
2023-09-28,7.6900,4802588,GCT
2023-09-27,9.4700,650876,GCT
2023-09-26,9.4900,531015,GCT
2023-09-25,9.8900,682249,GCT
2023-09-22,9.2500,725289,GCT
2023-09-21,9.8100,829953,GCT
2023-09-20,10.6200,1249754,GCT
2023-09-19,10.5200,1296685,GCT
2023-09-18,10.0000,1968144,GCT
2023-09-15,11.4500,690673,GCT
2023-09-14,11.9300,2000091,GCT
2023-09-13,12.2100,3563149,GCT
2023-09-12,13.2500,3370977,GCT
2023-09-11,17.7300,2921524,GCT
2023-09-08,16.4000,1722353,GCT
2023-09-07,14.7700,861157,GCT
2023-09-06,14.1500,1451029,GCT
2023-09-05,14.4900,878194,GCT
2023-09-01,13.5800,581644,GCT
2023-08-31,12.5100,347645,GCT
2023-08-30,12.6600,476078,GCT
2023-08-29,12.2500,338892,GCT
2023-08-28,11.6000,655305,GCT
2023-08-25,12.0900,455026,GCT
2023-08-24,12.3000,404367,GCT
2023-08-23,12.6600,721573,GCT
2023-08-22,12.9600,892223,GCT
2023-08-21,12.5900,936378,GCT
2023-08-18,11.5400,708388,GCT
2023-08-17,11.8900,856351,GCT
2023-08-16,11.5900,2483640,GCT
2023-08-15,10.1400,782106,GCT
2023-08-14,10.3200,424513,GCT
2023-08-11,10.7200,280468,GCT
2023-08-10,10.6300,320560,GCT
2023-08-09,10.3900,819948,GCT
2023-08-08,9.7300,368574,GCT
2023-08-07,9.2400,294878,GCT
2023-08-04,9.0800,272931,GCT
2023-08-03,9.4000,357986,GCT
2023-08-02,8.8400,219914,GCT
2023-08-01,9.0000,430680,GCT
2023-07-31,8.7400,276889,GCT
2023-07-28,8.4700,157109,GCT
2023-07-27,8.2900,244632,GCT
2023-07-26,8.5400,235145,GCT
2023-07-25,8.1800,302605,GCT
2023-07-24,8.5100,569954,GCT
2023-07-21,8.7000,276897,GCT
2023-07-20,8.3200,165178,GCT
2023-07-19,8.8500,355617,GCT
2023-07-18,8.2500,213704,GCT
2023-07-17,8.2000,496828,GCT
2023-07-14,7.7500,666826,GCT
2023-07-13,8.0600,775764,GCT
2023-07-12,7.5700,289721,GCT
2023-07-11,7.0800,252252,GCT
2023-07-10,7.3600,248562,GCT
2023-07-07,7.1300,313454,GCT
2023-07-06,7.3900,298419,GCT
2023-07-05,7.4000,284705,GCT
2023-07-03,7.1500,205364,GCT
2023-06-30,6.7600,437766,GCT
2023-06-29,7.5000,176420,GCT
2023-06-28,7.6600,180887,GCT
2023-06-27,7.8400,263927,GCT
2023-06-26,7.7800,134588,GCT
2023-06-23,7.7900,143746,GCT
2023-06-22,7.8000,121051,GCT
2023-06-21,7.5600,210097,GCT
2023-06-20,7.6500,486746,GCT
2023-06-16,8.0800,662065,GCT
2023-06-15,7.8400,304851,GCT
2023-06-14,7.8000,2701424,GCT
2023-06-13,7.5000,404664,GCT
2023-06-12,7.5000,846057,GCT
2023-06-09,6.9800,310576,GCT
2023-06-08,7.0000,470926,GCT
2023-06-07,7.0000,654167,GCT
2023-06-06,6.8000,325018,GCT
2023-06-05,6.7800,420370,GCT
2023-06-02,6.7800,772701,GCT
2023-06-01,6.6800,459323,GCT
2023-05-31,6.7500,528135,GCT
2023-05-30,6.7600,1507811,GCT
2023-05-26,6.4500,5395814,GCT
2023-05-25,5.7900,2318215,GCT
2023-05-24,7.1600,31940023,GCT
2023-05-23,5.6600,138300,GCT
2023-05-22,5.4650,49459,GCT
2023-05-19,5.2700,19110,GCT
2023-05-18,5.2900,73882,GCT
2023-05-17,5.3200,29285,GCT
2023-05-16,5.2700,55477,GCT
2023-05-15,5.5000,74199,GCT
2023-05-12,5.2400,42792,GCT
2023-05-11,5.2400,110254,GCT
2023-05-10,5.4200,68042,GCT
2023-05-09,5.2950,90546,GCT
2023-05-08,5.2600,61805,GCT
2023-05-05,5.0500,145870,GCT
2023-05-04,5.2600,94155,GCT
2023-05-03,5.1800,22169,GCT
2023-05-02,5.1800,164972,GCT
2023-05-01,5.5800,122328,GCT
2023-04-28,5.5300,547077,GCT
2023-04-27,5.0100,75253,GCT
2023-04-26,5.1500,67185,GCT
2023-04-25,5.3000,36045,GCT
2023-04-24,5.3000,54624,GCT
2023-04-21,5.2600,50244,GCT
2023-04-20,5.3000,51735,GCT
2023-04-19,5.3000,97049,GCT
2023-04-18,5.5800,85825,GCT
2023-04-17,5.6000,57512,GCT
2023-04-14,5.5600,99967,GCT
2023-04-13,5.9000,39809,GCT
2023-04-12,5.9400,70208,GCT
2023-04-11,6.2200,111182,GCT
2023-04-10,5.7200,49006,GCT
2023-04-06,5.6300,56112,GCT
2023-04-05,5.7200,87586,GCT
2023-04-04,6.0000,89657,GCT
2023-04-03,6.4200,73913,GCT
2023-03-31,6.3000,136823,GCT
2023-03-30,6.0300,226917,GCT
2023-03-29,5.5700,94325,GCT
2023-03-28,5.3500,82630,GCT
2023-03-27,5.4400,150344,GCT
2023-03-24,5.2100,180176,GCT
2023-03-23,5.1400,162230,GCT
2023-03-22,5.0900,117764,GCT
2023-03-21,5.1500,121181,GCT
2023-03-20,5.0400,99641,GCT
2023-03-17,5.2700,1580200,GCT
2023-03-16,5.8900,221218,GCT
2023-03-15,5.8000,335468,GCT
2023-03-14,5.1000,112803,GCT
2023-03-13,5.2200,159016,GCT
2023-03-10,4.9000,265305,GCT
2023-03-09,4.8800,144359,GCT
2023-03-08,4.9500,141456,GCT
2023-03-07,4.9600,123099,GCT
2023-03-06,4.9500,133463,GCT
2023-03-03,4.9700,159906,GCT
2023-03-02,4.9300,112585,GCT
2023-03-01,5.0000,210499,GCT
2023-02-28,5.0600,217748,GCT
2023-02-27,5.1200,238211,GCT
2023-02-24,5.0100,99567,GCT
2023-02-23,5.0500,82838,GCT
